vx,vy,wz
5.154643528085623982e-01,-2.018465656674941350e-02,4.377913495052294240e-02
5.200289380731183408e-01,-3.127685098609744863e-02,1.591970860760328829e-02
5.928096898867197817e-01,2.951057018490820666e-02,-6.299860782635677281e-02
6.801452902406929235e-01,4.957016129674017557e-02,-5.725072016554839938e-02
6.595539146260711583e-01,-6.250839521557313185e-03,-1.477474788841220410e-01
6.405079307445024073e-01,-1.307367998720952371e-02,-7.490461774167847531e-02
6.165542740483200834e-01,-1.249021418211804235e-02,-1.525031530537133972e-01
5.474060018320620058e-01,-1.153797601628701874e-02,-2.814010145942116292e-01
5.378670513126240227e-01,-2.984594168435399097e-02,-4.263890542495560876e-01
5.795774629507461917e-01,-5.980210183798451151e-02,-3.518415290644026916e-01
5.815380665577386532e-01,-3.984474219709342735e-02,-4.118525270697253049e-01
5.567813730388239124e-01,7.161029279368374967e-02,-3.948813200369192256e-01
5.327921869910041686e-01,3.287957717593622403e-02,-3.394227132971607275e-01
5.382219205751813673e-01,-7.557172355176089082e-03,-4.117228879776404504e-01
5.694664771322641705e-01,-2.312522401023951041e-02,-4.042502570892880231e-01
6.231905340279024763e-01,-1.745229649900528410e-02,-4.059294057590218108e-01
6.386647877303515131e-01,-7.807580371024207613e-03,-4.174034604951196714e-01
5.561749017898155456e-01,5.143463149443442545e-02,-4.289715847764594692e-01
5.125602944994690491e-01,5.588722493906721905e-02,-4.208221218506779659e-01
5.280818285830854997e-01,1.904616679757818384e-02,-4.104180916942253288e-01
5.932198941581594553e-01,-3.179784746598518855e-03,-4.260949085090286470e-01
6.183357104439118901e-01,-1.719884377220215477e-02,-4.109073326533323467e-01
5.960114027683198756e-01,4.545308309866269436e-02,-4.694132062749820644e-01
5.097555113383551717e-01,7.796920683473226865e-02,-4.106479565085677241e-01
5.429879206406502679e-01,-7.154705875809026783e-03,-4.068583028584901728e-01
5.940067604044599880e-01,-4.485722289447353905e-02,-4.029351510233947775e-01
5.382124494087191513e-01,1.321986644727602507e-03,-4.069687526406042810e-01
4.656848063803169513e-01,-3.337278677063289060e-03,-4.280418128770804298e-01
5.489987558570407211e-01,-1.832034596529350662e-02,-4.305410650968465869e-01
6.085801093535251338e-01,-7.526114021181265490e-03,-4.530723870726439673e-01
5.722853343216128819e-01,5.383234665339102151e-03,-4.575654004921864138e-01
4.784795390261217252e-01,2.804396383236590004e-02,-4.285181001884277308e-01
4.702015951410752903e-01,-2.165259457330371770e-02,-4.295252190453513474e-01
5.106685518695252002e-01,-1.415123227006869974e-02,-4.584847073644144344e-01
5.142210772043684930e-01,1.877390131420125091e-02,-4.068198925451982917e-01
5.705026189621829058e-01,-4.197248193460588472e-03,-4.655257621679945168e-01
5.858971648920823228e-01,-8.706886270476367484e-03,-3.973093614943512542e-01
5.421644831026259936e-01,1.854052866498251406e-02,-4.374043913448982801e-01
5.446544042602786684e-01,7.377587733180278329e-03,-4.360175657961769535e-01
5.565143309328095533e-01,-4.897971941164926124e-02,-4.486972933578681766e-01
5.118426383795378065e-01,-1.120342054851550424e-02,-4.593370162698405812e-01
5.264482688400469179e-01,-1.108884597067504897e-02,-3.853440871112154831e-01
5.918546788312545326e-01,-1.542698767264565366e-03,-3.962323960641966902e-01
5.863306764611779798e-01,1.031575336080592722e-02,-4.467967211069305278e-01
6.099465640417269796e-01,1.087129319963726568e-02,-4.264851601151297134e-01
5.951419882546841178e-01,2.040811481711318418e-03,-4.247814090485759753e-01
5.916459959910207456e-01,2.980887984520080684e-03,-4.621828342412877544e-01
5.978120650575470263e-01,5.393214489055452726e-03,-4.776662286282356562e-01
6.325167611352574548e-01,-1.377940584244728359e-02,-4.683442250529204487e-01
6.254866059413853874e-01,-1.937492562160699969e-02,-4.480520739957059018e-01
6.084786683392022777e-01,1.593828300782834662e-02,-4.192165640614338162e-01
6.430134958974370596e-01,-1.045257268227348102e-02,-4.192474283685260206e-01
6.591703740289871494e-01,-1.141931112964871160e-02,-4.089638280179730412e-01
5.412337280129189132e-01,5.286505268713395655e-03,-4.284878716929366727e-01
5.630924080444068558e-01,-7.161161095956384420e-03,-4.581361983883574518e-01
6.038289498289930446e-01,-8.674842914317838771e-03,-4.489833104411578013e-01
5.127156982473745073e-01,3.799908477983714172e-02,-4.993531667906628835e-01
4.882088752628001571e-01,-1.938902682292784063e-03,-5.258676501392295366e-01
4.865788923322170167e-01,-3.579902324841690436e-02,-4.936283466536406928e-01
4.457974962220046522e-01,2.238728586327679709e-02,-4.940968494297601765e-01
4.670236347671443689e-01,4.863814049771698206e-03,-5.412384618783057100e-01
7.252733409191527425e-01,-8.865987604085015517e-02,-6.854823472934081785e-01
8.006760217224895282e-01,-1.054686512220823630e-01,-6.007013107426382170e-01
